doc_id	pathway_mention	rb_label
15781663	Apoptosis	PTC
15781663	Apoptosis	PTC
15781663	Apoptosis	PTC
18327775	Apoptosis	PTC
18327775	Apoptosis	PTC
19380355	Apoptosis	PTC
11889175	Apoptosis	PTC
11889192	Apoptosis	PTC|FTC
11889192	Apoptosis	PTC|FTC
11889192	Apoptosis	PTC|FTC
11889192	Apoptosis	PTC|FTC
15756057	Apoptosis	PTC
17188145	Apoptosis	PTC|FTC
22654559	Apoptosis	PTC|FTC
16728577	Apoptosis	PTC
17156473	Apoptosis	PTC
21949582	Apoptosis	PTC
21949582	Apoptosis	PTC
15258907	Apoptosis	PTC
15258907	Apoptosis	PTC
15258907	Apoptosis	PTC
15258907	Apoptosis	PTC
15258907	Apoptosis	PTC
16613808	Apoptosis	ATC|PTC|FTC
22293278	Apoptosis	PTC
9068103	Apoptosis	PTC
9068103	Apoptosis	PTC
9068103	Apoptosis	PTC
9068103	Apoptosis	PTC
23264400	Apoptosis	PTC
23264400	Apoptosis	PTC
22586301	Apoptosis	PTC|ATC
22586301	Apoptosis	PTC|ATC
22993562	Apoptosis	PTC
20736296	Apoptosis	PTC
16531921	Apoptosis	PTC|FTC
16531921	Apoptosis	PTC|FTC
16531921	Apoptosis	PTC|FTC
16531921	Apoptosis	PTC|FTC
16531921	Apoptosis	PTC|FTC
16531921	Apoptosis	PTC|FTC
21643629	Apoptosis	PTC|FTC
21214962	Apoptosis	PTC
16350729	Apoptosis	PTC
24220341	Apoptosis	PTC
24220341	Apoptosis	PTC
24220341	Apoptosis	PTC
24220341	Apoptosis	PTC
24220341	Apoptosis	PTC
20587665	Apoptosis	PTC
15947106	Apoptosis	PTC
17891237	Apoptosis	PTC
15940252	Apoptosis	PTC
15940252	Apoptosis	PTC
23236561	Apoptosis	PTC|FTC
19014326	Apoptosis	PTC|FTC
19014326	Apoptosis	PTC|FTC
17174366	Apoptosis	PTC|FTC
17174366	Apoptosis	PTC|FTC
17174366	Apoptosis	PTC|FTC
23457043	Apoptosis	PTC
23457043	Apoptosis	PTC
23457043	Apoptosis	PTC
23457043	Apoptosis	PTC
14712216	Apoptosis	PTC
14712216	Apoptosis	PTC
