GENE	FREQ
EPOR	2
ARNT	2
ADIPOQ	2
CXCL12	2
ALK	2
ARG2	2
CCL5	2
DDIT3	2
FGFR1	2
C8orf4	2
CCNA2	2
DIO3	2
FOS	2
DIRC3	2
FOXP1	2
DKK4	2
GAS6	2
ADCY6	2
GFRA3	2
CASP3	2
CAV1	2
GNB3	2
CTSB	2
GPX3	2
RSPO3	1
RGS2	1
UTS2	1
PTGS1	1
TNFRSF13B	1
SELE	1
TTK	1
SELP	1
XPA	1
SEPT7	1
TLR3	1
SERPINA1	1
TNFSF8	1
PLCG1	1
TRIP12	1
PPP1CA	1
PSPN	1
SERPINE1	1
WDR1	1
PTHLH	1
ZCCHC12	1
SFTPA1	1
TKTL1	1
SFTPB	1
RHOG	1
PPP1R16A	1
PRLR	1
SHC3	1
TP53INP1	1
PTPN13	1
TRIM27	1
SIAH2	1
PROM2	1
SIRT1	1
TYK2	1
SIRT3	1
UGT1A1	1
PTPN6	1
VHL	1
SKP2	1
S1PR2	1
SLC16A2	1
PPARD	1
SLC25A16	1
RETN	1
PLAT	1
TJP1	1
PRDM2	1
TLR10	1
SLC34A2	1
TMOD1	1
SLC3A2	1
TNFRSF11A	1
PLK2	1
TNFRSF6B	1
PVALB	1
TNFSF13	1
SLIT3	1
RPL6	1
PYCARD	1
PROM1	1
QPCT	1
TRAF6	1
SMO	1
TRIM33	1
SMYD2	1
TSG101	1
QPRT	1
TSTD2	1
RAB5A	1
PSMG1	1
ZNF79	1
TYMS	1
SNX19	1
UBE2I	1
SNX5	1
USF2	1
SOCS1	1
POU5F1	1
SOD2	1
VTRNA2-1	1
SOD3	1
PTCSC1	1
SOX17	1
S1PR3	1
RAB7A	1
XRCC2	1
RAC1	1
XRCC6	1
SPAG17	1
ZNF197	1
SPAG9	1
RGN	1
SPARC	1
RHO	1
PRDX5	1
TK1	1
SPON2	1
TLN1	1
RAD52	1
TLR2	1
PREP	1
TMEM184C	1
SRA1	1
PRL	1
RAP1A	1
TNF	1
SRF	1
RHOH	1
SRGAP1	1
TNFRSF1B	1
RAP1B	1
TNFRSF8	1
PRKAA1	1
PROK1	1
PRKACA	1
TNFSF13B	1
RASA1	1
RPL15	1
SSTR5	1
TP53BP1	1
ST3GAL1	1
RPL7	1
ST6GAL1	1
RREB1	1
RASAL1	1
TPR	1
STAT2	1
TRIM24	1
PMS2	1
TRIM28	1
STK17A	1
RTN3	1
STK17B	1
TRIP6	1
RASSF10	1
RTN4IP1	1
RASSF2	1
TSPO	1
TACC3	1
PRSS8	1
TAS2R38	1
TTR	1
TCEAL4	1
TXN	1
TCEB3	1
TYMP	1
TCF12	1
TYRO3	1
TCF3	1
UBE2D1	1
TCHP	1
UCP1	1
TCO	1
USF1	1
TEK	1
USP22	1
TERC	1
S100A1	1
PJA2	1
S100A11	1
TF	1
VTN	1
TFAP2A	1
VWF	1
RASSF7	1
PTCPRN	1
POP1	1
PTCSC3	1
TFRC	1
WWTR1	1
RBBP4	1
SCG5	1
RBL1	1
SCGB3A2	1
RBL2	1
SDC1	1
TGFB3	1
XRCC5	1
TGFBR2	1
YAP1	1
RBX1	1
