GENE	FREQ
PASK	5
AURKC	5
TGFB3	5
TGM2	5
LCT	5
TWIST1	5
TYMS	5
TYRP1	5
VHL	5
XRCC2	5
NMTC1	5
AKAP1	5
NAT2	4
ABCA1	4
ABL2	4
ACP1	4
AFP	4
AKT2	4
ADCY4	4
HSD3B1	4
ANXA2	4
BIRC2	4
BIRC3	4
TNFSF11	4
SOCS1	4
MIR155	4
ATIC	4
ATP5O	4
BAD	4
BDNF	4
BSG	4
CALM3	4
CASP1	4
RUNX1	4
CD14	4
CD19	4
CD86	4
CDH3	4
CDH6	4
CD163	4
QPCT	4
KTCN3	4
NOX4	4
CP	4
CR1	4
CYP27B1	4
TRDMT1	4
AKT3	4
DUSP6	4
ECM1	4
EDN1	4
EIF4E	4
STUB1	4
F3	4
PDPN	4
FUT3	4
TRAF3IP2	4
NES	4
GAS6	4
FTCD	4
GDNF	4
GHRH	4
BHLHE22	4
COPS5	4
MIR375	4
GPX3	4
GRB2	4
GLMN	4
EXOSC1	4
H2AFX	4
AKAP2	4
HLA-B	4
HLA-G	4
HTC1	4
IDH1	4
IFNA2	4
IGFBP3	4
IGH	4
IL2RA	4
IL12A	4
INHBC	4
ITGAL	4
ITGB2	4
CD82	4
KRT18	4
LBR	4
LDHB	4
LGALS4	4
LIPC	4
LMNA	4
LNPEP	4
LPO	4
LRPAP1	4
OPN4	4
MBP	4
MCL1	4
MGMT	4
RAB40AL	4
IYD	4
MAPK15	4
GEN1	4
NEDD9	4
NPY	4
NRF1	4
NT5E	4
NTRK2	4
OGG1	4
PEBP1	4
SERPINB2	4
PAX4	4
PDC	4
PDGFRL	4
ENPP2	4
PDPK1	4
MAP2K1P1	4
PHYH	4
PI3	4
RHOD	4
GNPTAB	4
PRKAB1	4
BCAS3	4
PSMD1	4
RAP1A	4
RBL2	4
RHO	4
SHH	4
MYH14	4
SDC1	4
SDHB	4
SEPP1	4
NAA15	4
SLC7A1	4
THADA	4
DKK1	4
SOX2	4
SPINK1	4
HDAC8	4
STK4	4
FAF2	4
TCF7L2	4
TERF1	4
MMP25	4
COL18A1	4
TLR4	4
TNFRSF1A	4
TPR	4
SMUG1	4
VCAM1	4
TNS3	4
EZR	4
WNT1	4
KTCN2	4
C8orf4	4
ACKR3	4
FOSL1	4
TAM	3
ACTB	3
NCOA3	3
SERPINA3	3
TKTL1	3
NDRG2	3
ADM	3
ADORA2A	3
ALCAM	3
GNAI1	3
ALPP	3
GNAQ	3
ANPEP	3
APAF1	3
KLK3	3
TNFRSF25	3
B2M	3
BAAT	3
BCL2A1	3
BCL3	3
BUB1	3
BUB1B	3
C3	3
CALCR	3
CAMK2G	3
RUNX3	3
CLDN1	3
CCNG1	3
CD80	3
CD59	3
CD63	3
CDA	3
CDC25C	3
CDH16	3
CEACAM5	3
CHGB	3
CD83	3
CHR	3
TRIT1	3
TCEAL1	3
CLTA	3
CCR7	3
MINK1	3
BAG3	3
COX8A	3
CREBBP	3
CTLA4	3
CTSL	3
HDAC4	3
AMT	3
RASSF5	3
URB1	3
GOLGA5	3
NR1I3	3
HDAC5	3
E2F2	3
PTPRU	3
SLC17A5	3
AKAP9	3
EPHA2	3
ALYREF	3
HDAC10	3
ERCC6	3
ETV6	3
F8	3
FANCA	3
FANCB	3
NDRG1	3
CFDP1	3
FER	3
FGF4	3
FGF7	3
FOXM1	3
FLT3	3
FNTA	3
SLCO6A1	3
POSTN	3
TRIM33	3
FSHR	3
DKK4	3
GAB1	3
MAP3K2	3
ERAP1	3
GATA4	3
GCK	3
HPSE	3
GJA1	3
GLI1	3
MCAT	3
SPINK5	3
CXCR3	3
