GENE	FREQ
DLG3	1
SP1	1
BMP2	1
ESM1	1
HMBS	1
HMGB1	1
GTF2I	1
CYTL1	1
HMOX1	1
CHI3L2	1
FOXA1	1
FOXA2	1
TTF1	1
CAMK2G	1
CXCL1	1
TRIT1	1
CD163	1
TCEAL1	1
GRP	1
MTPN	1
CKB	1
TYR	1
HOXA7	1
TYRO3	1
SLC2A4	1
CKS2	1
PHKG2	1
CLA3	1
PI3	1
IL32	1
SOCS3	1
CADM1	1
QPCT	1
HOXD4	1
OIT3	1
PIN1	1
CD101	1
STOML1	1
GSK3B	1
CLTA	1
PITX2	1
NINJ1	1
PKM	1
ACD	1
PLA2G4A	1
PLAT	1
HES1	1
CCR6	1
PLD1	1
PLD2	1
HSD17B1	1
SPN	1
CCNB1	1
USH2A	1
HSPA5	1
PARK7	1
HSPB1	1
VCAM1	1
VCL	1
PMCH	1
IGSF3	1
NOX4	1
TUSC3	1
OCIAD1	1
NAPSA	1
VIPR1	1
PMS2P3	1
CERK	1
CYBB	1
ARG2	1
PRRX1	1
COL11A1	1
ALDH2	1
COL13A1	1
VWF	1
SLC2A9	1
COMP	1
RHOD	1
WBS2	1
CCL19	1
CLIP2	1
IL11RA	1
WNT1	1
WNT2	1
WNT6	1
WNT7A	1
ICAM2	1
ICAM3	1
TLX3	1
GLMN	1
ID1	1
DUOX2	1
COL18A1	1
FEV	1
WWTR1	1
POU4F2	1
CLDN3	1
CLDN7	1
HIST1H3J	1
XRCC4	1
GABBR2	1
SRD5A1	1
MIRLET7E	1
MIRLET7I	1
HDAC8	1
IFNA2	1
PRDX6	1
TOP3A	1
PMS2P5	1
MIR130B	1
MIR138-2	1
FXYD5	1
ALK	1
IGFBP3	1
GBA	1
IGFBP5	1
IGFBP6	1
PPT1	1
MIR181A2	1
SLCO4A1	1
SH3PXD2A	1
PRH2	1
AKAP9	1
CCR3	1
IL22	1
PRKAA1	1
PRKAB1	1
CNR2	1
MIR200B	1
PRKCA	1
TIAM1	1
MIR21	1
CTF1	1
CTGF	1
MIR34B	1
CTLA4	1
IL1R1	1
MAPK13	1
IL2RA	1
EIF2AK2	1
COL1A1	1
MIR2861	1
IL7R	1
GCHFR	1
MIR31	1
MIR34A	1
DPP7	1
TK1	1
IL11	1
HDAC9	1
CYP1A1	1
CBX5	1
TRAF3IP2	1
SLC22A18	1
IL13	1
ZNF135	1
CD80	1
MIR99B	1
KLK7	1
NCOA2	1
IL18	1
ECM1	1
TES	1
MLEC	1
GSS	1
PSG2	1
MST1	1
SCEL	1
INHBC	1
BCAS3	1
CD27	1
DCSTAMP	1
CYP11B1	1
CYP17A1	1
CYP21A2	1
INSR	1
PSMB9	1
MLANA	1
IRAK1	1
GDF1	1
RASSF5	1
IRF1	1
DAPK3	1
PSMD8	1
CMAS	1
PTGES2	1
LPO	1
ITGA2	1
ITGA4	1
DCK	1
ACE	1
DNAJC5	1
ITGB1	1
IL22RA1	1
PTGIS	1
PTHLH	1
C11orf30	1
STT3A	1
SF	1
APEX1	1
CHEK2	1
PTMS	1
NOS2P1	1
RASIP1	1
PJA2	1
HSPD1	1
JUN	1
JUNB	1
FOXQ1	1
URB1	1
KARS	1
APCDD1	1
PTPRJ	1
TINF2	1
DEPTOR	1
TERF1	1
MUT	1
ANK2	1
NQO1	1
MIR613	1
MNG2	1
FUS	1
STAT5A	1
CD79B	1
CDCA7L	1
PAPSS2	1
HIPK2	1
MFSD6	1
ATG7	1
PCBP4	1
MVP	1
MUL1	1
PRRC2A	1
SFRP1	1
PAX1	1
AMIGO2	1
DNTT	1
TBX22	1
RAD51B	1
RAD51D	1
IVL	1
DPH1	1
RAN	1
DPYD	1
RAP1A	1
NEK4	1
RAP1B	1
HRASLS	1
RARA	1
RARB	1
KRT16	1
DHRS2	1
RARRES1	1
TCO	1
KRT18	1
PSME2	1
KDM5A	1
OSMR	1
SHFM1	1
OFC1	1
RBL1	1
RBL2	1
DUSP1	1
DUSP4	1
